questions	answers
When was Britannicus's father born?	Robert hanged him anyway, and for this the River Annan destroyed part of his castle and the de Brus line received a curse from the holy man.
Which film has the director who is older than the other, Lemming (Film) or Hunger For Love? 	Hunger For Love
Who was born first, João De Aquino or Yacine Slatni?	[Final Answer]: Joo De Aquino.
Are The Pursuit Of Happiness (1934 Film) and East Lynne (1931 Film) from the same country?	[Final Answer]: No.
Who was born first, Lamine Fomba or Michael Hagan?	John McKenzie was the first Catholic biblical scholar of the mid-twentieth century.
What is the place of birth of the director of film The New Kids?	Hilda Neihardt.
Which film was released earlier, It'S Never Too Late To Mend or The Bride'S Journey?	[Final Answer]: It'S Never Too Late To Mend.
What nationality is Henry De Beaumont, 5Th Earl Of Warwick's father?	1614 to 1628.
Who is the spouse of the director of film The Untouched Woman?	Ed
Which film has the director who was born later, I'Ll Take Sweden or His Majesty, The American?	His Majesty, The American
Where was the place of death of the director of film The Iron Man (Serial)?	Lower Lorraine
What is the place of birth of the director of film Crazy Alien?	Bornean.
Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?	Barcelona
Where does the director of film Shock Treatment (1964 Film) work at?	Shimla
Which film has the director who died earlier, Father Makes Good or The Power Of A Lie?	[Final Answer]: Father Makes Good.
Which film came out earlier, Rajapart Rangadurai or At Sword'S Edge?	The film was directed by Randall Miller, Jody Savin, and Hillary Schwartz.
Where did the director of film Saadia (Film) graduate from?	Film and Television Institute of India, Pune.
Which film has the director born later, The Last Company or Anand Ashram?	Anand Ashram
Where does Princess Rym Al-Ali's father work at?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Who was born later, Saulo Torón Navarro or Jim Sterling?	Bell's father, Bell, was unable to attend school for the deaf.
Who is older, Adam Quick or Vicente Costa?	Lenny) and Monica Gallagher (Jasmine)
Who was born first, Marie-Eugène De L'Enfant-Jésus or Kenneth Johnson (Filmmaker)?	Augustus John.
What is the place of birth of Damo (Philosopher)'s father?	Matthew 1:11
Which film has the director who is older, Shootin' For Love or The Other Life Of Captain Contreras?	felony involuntary manslaughter and criminal trespass.
Which film has the director who died later, Panam Paduthum Padu or Secret Enemies?	Panam Paduthum Padu
Do both films, They Didn'T Know and North Of The Border (Film), have the directors who are from the same country?	No
Which country David Barclay Of Cheapside's father is from?	[Final Answer]: Scotland.
Which film has the director born later, Gene Autry And The Mounties or Sunday'S Illness?	Fenwick
What is the place of birth of Bea Ballard's father?	Candy Land.
Which film has the director who died earlier, Love That Brute or Laughing Heirs?	Laughing Heirs.
Who is the spouse of the director of film The Second Awakening Of Christa Klages?	John Ringling and his wife Mable Ringling.
Who is the maternal grandfather of Edmund Stafford, 5Th Earl Of Stafford?	Hugh de Stafford, 2nd Earl of Stafford and Philippa de Beauchamp
Who is William Paulet, 4Th Marquess Of Winchester's paternal grandmother?	136 is the earliest known century in the history of first-class cricket.
Where was the place of burial of Lucy Beall Candler Owens Heinz Leide's father?	Charles-Maurice Le Tellier, and his brother, Marquis de Louvois, both ministers of Louis XIV.
Where was the director of film Inconceivable (2008 Film) born?	Auburn, NY.
Which film has the director who was born first, Bhavesh Joshi Superhero or Hellboy Ii: The Golden Army?	Hellboy Ii: The Golden Army.
Which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?	The first season of the second season was a slasher.
Which country Şehzade Ömer Hilmi's father is from?	Hansi Schmidt was the first female player to roll a 300 game on American national television.
Which country the director of film Shocking Asia Ii: The Last Taboos is from?	India.
Which film has the director born first, The Bong Connection or The Whole Shootin' Match?	[Final Answer]: The Bong Connection.
Where was the performer of song Rewind (Find A Way) born?	Joe Bennie Pugh
Who is Anne De Laval, Viscountess Of Thouars's paternal grandfather?	[Final Answer]: Anna Philanthropene.
Which film has the director born later, La Soif De L'Or or Forelsket I København?	Forelsket I Kbenhavn
Which film was released more recently, In The Country Of Juliets or Requiem For A Dream?	In The Country Of Juliets
Who is older, Boris Mavashev or Geraldo Vandré?	Red.
Who is younger, Lo Hsiao-Ting or Basil Hoffman?	“
Which film was released first, Sunset In Naples or The Storm Rider?	[Final Answer]: Sunset In Naples.
Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?	German politician and the President of the European Commission since 1 December 2019.
Which film has the director who was born earlier, All About Anna or Spy Today, Die Tomorrow?	All About Anna.
Who was born first out of Marco Donadel and Carrie Finlay?	The Churchills were an indie pop/ rock foursome from the New York/ New Jersey area started by founding members Ron Haney, Bart Schoudel and Kim Henry.
Where was the composer of song Unravel born?	Carl Nielsen (November 18, 1884 – December 18, 1886) was a Danish composer, conductor and violinist.
Where was the director of film Meet Me On Broadway born?	"Hearst"" was published in 1962."
Where did Carlos Bee's father die?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:
Where was the father of Eugene Fubini born?	"British, the Ilkley Ladies' Belgian Hospitality Committee"" was established in 1904 and was a member of the Advisory Committee on Women's Health and Public Health."
Who is Alberic Ii Of Spoleto's maternal grandmother?	Lenny is a talented talent agent.
Which film was released more recently, An Unreasonable Man or Lay The Favorite?	Lay The Favorite
What nationality is Ameena Begum's husband?	Ora Ray Baker.
Who was born later, Paolo Marcellini or Dean Evans?	[Final Answer]: Dean Evans.
Who is the paternal grandfather of Alexandru Coconul?	[Final Answer]: [Final Answer]: Michelle Feldman.
Where was the place of death of the director of film Judith Therpauve?	Bradford
Who was born later, Richard Longstreth or Jenny Algelid-Bengtsson?	Annabelle and two daughters.
Who is the father of Auguste-Théodore-Paul De Broglie?	Lenny.
Which film has the director died first, Face In The Rain or Above The Rim?	Face In The Rain
Who is the mother-in-law of Maria Caroline Gibert De Lametz?	The Life and Extraordinary Times of Matilda of Canossa and the Origins of the Renaissance.
Where was the place of death of the director of film Foma Gordeyev (Film)?	Lower Lorraine
Which film was released earlier, The Pride And The Passion or Lamhe?	Filmfare Awards in 1935.
Are Sand River (Limpopo) and Dennis Creek both located in the same country?	Black Hills National Forest.
What is the place of birth of the performer of song Outta My Head (Leona Lewis Song)?	London
Which film has the director died earlier, The Stolen Airship or Day Of The Badman?	[Final Answer]: Day Of The Badman.
Which film whose director is younger, Kiladigalu or He'S My Girl?	Films of the same name are produced by the Turkish film industry in Turkey.
Which award the performer of song In 20-0-3 earned?	Groza was a jerk.
Was Lupe Anguiano or Philippe Close born first?	Gothelo II.
Which film was released earlier, Yohan: The Child Wanderer or A Nightmare On Elm Street 4: The Dream Master?	New York Symphony.
Which film came out first, The Greatest Thing In Life or Den Of Lions?	[Final Answer]: The Greatest Thing In Life.
Who died earlier, Samson Occom or Imre Wampetich?	Hugh Antoine d' Arcy.
Who is the mother-in-law of Ada Of Scotland?	Michelle Feldman.
Where was the director of film Driftwood (2006 Film) born?	He was the first British screenwriter to win a singles title in the PBA Women's Series.
Which magazine was published first, Graphotism or Amiga World?	[Final Answer]: Amiga World.
Which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?	[Final Answer]: Murderer In The Fog.
Where was the place of death of the composer of song Bidin' My Time?	Rwanda
Do both Those Merry Souls and The Last Starfighter films have the directors from the same country?	[Final Answer]: no.
Which film has the director died first, Mandela And De Klerk or The Bride Came C.O.D.?	The Bride Came C.O.D.
Who was born first, Botir Qoraev or István Ujhelyi?	Dr. Moises Frumencio da Costa Gomez's death in November 1966, he was re-elected to the post of Prime Minister of the Netherlands Antilles.
Which film has the director died earlier, Miracle Of Marcelino or The Accompanist?	Miracle Of Marcelino.
Which film has the director born earlier, Step Into Liquid or Seasons Of Our Love?	Step Into Liquid
Who is Louis X Of France's maternal grandfather?	Charles VII's repression led to his death in 1461.
Who is the spouse of the performer of song Missing My Baby?	The Churchills, Nancy Norman was a member of the band that was a member of the band.
Where was the place of death of Nancy Kassebaum's father?	Theodor Axenfeld studied under the doctor of gynecology at the University of Bonn.
Which film has the director who was born later, Light In The High Plains or On A Half Clear Morning?	On A Half Clear Morning
Where was the father of David Ogilvy, 12Th Earl Of Airlie born?	Brinton, Norfolk.
Which film has the director died earlier, The Marriage Of Maria Braun or An Ache In Every Stake?	Midnight Rider: The Gregg Allman Story was produced by Randall Miller.
Which film has the director who was born first, Wild Harvest or Thunder In The Night?	A Tale from the Past was the third Australian film to be nominated for the 2007 Academy Awards.
Which film has the director who died first, The Amsterdam Kill or A Boy From Calabria?	A Boy From Calabria
Who is Shepseskare's paternal grandmother?	Priscilla Rabagliati, MBE, died in Bradford on 30 March 1934.
What is the place of birth of Clodia Pulchra (Wife Of Octavian)'s mother?	Ladislaus of Naples.
Which film has the director who was born earlier, The Rise And Rise Of Michael Rimmer or Bar 51?	Michelle Feldman (born April 19, 1976) is a former professional ten- pin bowler and former member of the Professional Women's Bowling Association (PWBA).
Why did Charis Wilson's husband die?	He died in 1873.
Which film has the director born earlier, The Story Of Anastasia or A Mother Of Men?	[Final Answer]: The Story Of Anastasia.
When is Luke Dillon, 4Th Baron Clonbrock's father's birthday?	Luke.
Who is the father of the director of film Lila & Eve?	Andy Serkis as Caesar, an intelligent common chimpanzee who is leader to a tribe of genetically enhanced apes.
Where was the director of film The Hobbit: An Unexpected Journey born?	[Final Answer]: New York City.
Who is the paternal grandfather of Princess Catherine Of Schleswig-Holstein-Sonderburg-Beck?	Michelle Feldman
Where does William Henry Fitzhugh Lee's father work at?	"Blume's debut book, ""Everybody Behaves Badly: The True Story Behind Hemingway ’s Masterpiece The Sun Also Rises"" is a re-release of her first book, ""Everybody Behaves Badly: The True Story Behind Hemingway ’s Masterpiece The Sun Also Rises"""
What is the award that the director of film Baltic Skies got?	Best Music Director Award
What nationality is the director of film The Beach (Film)?	Iranian.
Where was the place of burial of the director of film Tag Der Freiheit: Unsere Wehrmacht?	Golders Green.
Do the movies The Man Who Changed His Name (1928 Film) and The Lady Clare, originate from the same country?	[Final Answer]: No.
Which film has the director died earlier, Railroaded! or By The Light Of A Star?	"citation from OSHA for ""serious"" and ""willful"" safety violations."
What nationality is the director of film Fúlmine?	He started as an actor studying in Florence at the School for Dramatic Art directed by the actor Vittorio Gas.
Where was the performer of song When You Were My Girl born?	Ron Haney, Bart Schoudel and Kim Henry
Are the movies Blood: The Last Vampire (2009 Film) and Jamesy Boy, from the same country?	[Final Answer]: No.
Which school was founded first, Catholic University Of Tachira or Sri Dharmaloka College?	"The Insider's Guide to the Colleges is a college educational guide which has been published annually by the student editorial staff of the ""Yale Daily News"" for over four decades."
Who is the paternal grandfather of Daughter Of Julius Constantius?	Dorothy McNeill was the principal female figure in the John household.
Who is the spouse of the director of film The Unholy Wife?	Jenna Fischer
What is the place of birth of Gerard I, Count Of Guelders's wife?	Louis I, Count of Loon, and Agnes of Metz.
Who is Bertrand, Count Of Toulouse's child-in-law?	Quartus de Wet was a judge of the Transvaal Provincial Division.
Who is Charlotte Lee, Countess Of Lichfield's paternal grandmother?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: Hugh Cholmondeley, 1st Earl of Cholmondeley, PC (1662 – 18 January 1725), styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley, PC (1662 – 18 January 1725), styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The Honourable from birth until 1681 and then known as Viscount Cholmondeley to 1706, styled The
Where was the place of death of Maria Of Jülich-Berg's mother?	He retired in 1928.
Which film has the director who died earlier, Maravil Thirivu Sookshikkuka or The Wild Geese?	Final Answer: Criminal trespass.
Where did Louisa Garrett Anderson's mother die?	Violet Emily Mildred Bathurst, Lady Apsley, CBE (née Meeking; 29 April 1895 – 19 January 1966) was a British Conservative Party politician.
Who is the paternal grandfather of William De Ferrers, 4Th Earl Of Derby?	Thomas Stanley, 1st Baron Stanley and Joan Goushill.
When did William Ii Crispo's father die?	Edward Salisbury Field)
What is the place of birth of the director of film Temptation Of A Monk?	Grigorije Vasilije was the abbot of Hilandar in 1583.
Who is the father-in-law of Elizabeth Somerset, Baroness Herbert?	"Badly: The True Story Behind Hemingway ’s Masterpiece The Sun Also Rises"" to commemorate the 90th anniversary of Sun's 1926 release."
Do both directors of films Sometimes Good and Sweet Sixteen (2002 Film) share the same nationality?	[Final Answer]: no.
Are Marufabad and Nasamkhrali both located in the same country?	no
What is the date of death of Lancelot Lowther, 6Th Earl Of Lonsdale's father?	He was the last viceroy of India (1947–1948) and the first governor-general of independent India (1947–1948).
Which film has more directors, Freaked or Tesis Sobre Un Homicidio?	Freaked
What is the place of birth of the director of film Centaur (2016 Film)?	Rajkot nobleman.
What nationality is the director of film War Of The Buttons (1994 Film)?	Yugoslavia.
Who is Ferdinand, Duke Of Viseu's maternal grandfather?	Boulogne.
Which film has the director who was born later, The Night The Prowler or When The Gods Fall Asleep?	When The Gods Fall Asleep
Which film has the director who died earlier, Naa Mechida Huduga or The Countess Died Of Laughter?	The Countes
Where was the place of burial of the director of film Fear And Trembling (Film)?	St. Monica's
What is the place of birth of the director of film The Naked Island?	Finland.
Who is Eva Chamberlain's maternal grandmother?	Dowager Duchess of Atholl was crowned, she was crowned Duchess of Atholl.
What nationality of the company that published Personalized Medicine (Journal)?	Michelle Feldman
Are both Lac À La Catin and Batiscan Lake (Quebec) located in the same country?	[Final Answer]: No.
Where was the director of film Suicide Commandos (Film) born?	Auburn, NY.
Are the directors of films A South Sea Bubble and The Young Animals both from the same country?	[Final Answer]: No.
Who was born first, William L. Holland or Dale Vince?	James and the Giant Peach.
Who is the spouse of the director of film The Dressmaker From Paris?	Henry Hudson's crew members.
Which film was released more recently, The Devil'S Rock or The Flyboys (Film)?	The Devil'S Rock
Which film was released more recently, Moscow Pride '06 or My Favourite Fabric?	Moscow Pride '06
Who was born earlier, Allen George Newman or James Dickson Phillips Jr.?	Popes and other scholars.
Which country Waleran De Beaumont, 1St Earl Of Worcester's father is from?	England.
Where was the performer of song Serial Killer (Song) born?	John Castillo.
Which film has the director died later, Pacific Rendezvous or Calling Bulldog Drummond?	Pacific Rendezvous.
Who was born first, Bogdan Țăruș or Robert Wulnikowski?	Johann Ludwig Knoop
Who is Joan Of Valois, Countess Of Hainaut's paternal grandfather?	Norman period.
Who is younger, John Duncan Macfarlane or Andrés Manuel Del Río?	“
Are Ami Magazine and Spy (Magazine) from the same country?	No.
Who was born earlier, Humphrey Edwardes-Jones or Ángel De La Torre?	Pedro Aguilar was born in San Juan, Puerto Rico.
Who is Princess Marie Of Waldeck And Pyrmont's maternal grandfather?	Menegazzo was killed in the crash on 2 December 2005.
What is the date of death of Gustav Von Leonhard's father?	Germany in 1921.
Which film was released first, Insaaniyat or Five Of A Kind?	Five Of A Kind
Who is the father of the performer of song Come Dig Me Out?	New Jersey.
Which film has the director born later, Per Amore... Per Magia... or All Wrong (Film)?	All Wrong (Film)
Which film has the director who was born earlier, The Affairs Of Martha or The Football Lottery?	The Football Lottery.
Which film has the director born later, Ada Apa Dengan Cinta? or Adam & Paul?	Adam & Paul
What nationality is Krisztina Nyáry's husband?	Russian.
Where was the place of burial of Yakov Dzhugashvili's mother?	He was born on 28 October 1851.
What is the date of death of Alexander Baring, 4Th Baron Ashburton's father?	4 May 1835 – 18 July 1889
Which film was released first, Koko And The Ghosts or Cheppave Chirugali?	Koko And The Ghosts
Where did the director of film Hospitals: The White Mafia die?	[Final Answer]: Bradford.
Who is the paternal grandmother of Mervyn Tuchet, 4Th Earl Of Castlehaven?	Helen Priscilla Rabagliati, MBE, Catherine Rabagliati, MBE, Catherine Rabagliati, MBE, Catherine Rabagliati, MBE, Catherine Rabagliati, MBE, Catherine Rabagliati, MBE, Catherine Rabagliati, MBE, Catherine Rabagliati, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, MBE, M
Where was the director of film The Making Of Plus One born?	Auburn, NY.
Which film whose director is younger, The Land Before Time Ix: Journey To Big Water or The Life Story Of David Lloyd George?	69 Sexy Things 2 Do Before You Die was a playboy television adult newsmagazine based on the 69 Sexy Things 2 Do.
What is the place of birth of the director of film Bodily Harm (Film)?	Pretoria.
Who lived longer, Philippe Solari or Stephen Jurika?	Ivan the Terrible and Dionysius
Did the bands The Vaccines and The Wanted, originate from the same country?	[Final Answer]: No.
Where was the director of film The Snob Buster born?	Lenny is a slacker and lothario.
Who is Joan De Beauchamp, Countess Of Ormond's father-in-law?	Choua was a member of the Kanembu rebel group.
Who was born first out of Johan Jureskog and Kieren Jack?	"John McKenzie's book, ""was a very important book for the Catholic Church."""
What is the place of birth of the keyboardist of Veslefrekk?	Jerome was a scholar at a time when that statement implied a fluency in Greek.
Are Champagne For Caesar and A Million Ways To Die In The West from the same country?	no
Who lived longer, Neil Lloyd Macky or Domenico Cosselli?	Diego Voci.
Where was the father of Baw Ngan-Mohn born?	Viking ships.
Where was the performer of song Giati Fovase born?	Mario Battas
Which film has the director born first, Král Ulice or Brother Liu And Brother Wang On The Roads In Taiwan?	Brother Liu And Brother Wang On The Roads In Taiwan
Which film has the director born earlier, Chaitrada Chandrama or Amelia Lópes O'Neill?	A Beginner's Guide to Endings is a 2010 film directed by Jonathan Sobol and starring Harvey Keitel, Scott Caan, and J.K. Simmons.
Are both Don Sasa and Boyd R. Overhulse from the same country?	no
Who is the spouse of the director of film Paribar?	[Final Answer]: [Final Answer]: Helen Priscilla Rabagliati.
Who is Sobe (Sister Of Saint Anne)'s grandchild?	Alessandra.
Which film has the director who died later, First-Year Student or Oru Sundariyude Katha?	First-Year Student
Which film whose director is younger, Appointment With Murder or Big Business Girl?	Lenny is a slacker and lothario.
Where did Louis Of Nassau's mother die?	Königsberg
What nationality is the director of film The Mexican Dream?	Peruvian.
Are Sydney Park (Actress) and Karl August Folkers of the same nationality?	Oscar as a 70s pimp, then a rational consumer)
Where did the composer of film Nighthawks (1981 Film) die?	New York Symphony.
Which film has the director died first, Crime Against Joe or Partners Three?	Inherent Vice is a 2014 American neo-noir period comedy-drama film written and directed by Paul Thomas Anderson, based on the novel of the same name by Thomas Pynchon.
Where did the director of film 1919 (Film) graduate from?	New York University
Who is the paternal grandmother of Lewis Of Luxembourg?	Viscount Townshend.
Who is the stepchild of Æthelred Of Mercia?	Johann von der Leyen.
